releaseDate,stockDirection,ipcaData4Weeks,ipcaData1Week,ipcaDataToday,pibData4Weeks,pibData1Week,pibDataToday,cambioData4Weeks,cambioData1Week,cambioDataToday,selicData4Weeks,selicData1Week,selicDataToday,igpData4Weeks,igpData1Week,igpDataToday,ipcaAdminData4Weeks,ipcaAdminData1Week,ipcaAdminDataToday,contaCorrenteData4Weeks,contaCorrenteData1Week,contaCorrenteDataToday,balComData4Weeks,balComData1Week,balComDataToday,investimentoData4Weeks,investimentoData1Week,investimentoDataToday,dividaLiquidaData4Weeks,dividaLiquidaData1Week,dividaLiquidaDataToday,resPrimarioData4Weeks,resPrimarioData1Week,resPrimarioDataToday,resNominalData4Weeks,resNominalData1Week,resNominalDataToday
2023-01-23,1,5.23,5.39,5.48,0.79,0.77,0.79,5.27,5.28,5.28,12.0,12.5,12.5,4.54,4.67,4.69,6.53,6.95,7.25,-47.0,-46.0,-46.0,58.8,57.2,58.0,80.0,80.0,80.0,62.0,61.85,61.6,-1.17,-1.19,-1.11,-8.6,-8.25,-8.35
2023-02-27,-1,5.74,5.89,5.9,0.8,0.8,0.84,5.25,5.25,5.25,12.5,12.75,12.75,4.67,4.58,4.54,8.39,9.01,9.04,-46.0,-50.0,-50.0,57.6,57.85,57.35,80.0,80.0,80.0,61.4,61.5,61.23,-1.1,-1.05,-1.03,-8.45,-7.85,-7.85
2023-03-06,-1,5.78,5.9,5.9,0.79,0.84,0.85,5.25,5.25,5.25,12.5,12.75,12.75,4.6,4.54,4.11,8.44,9.04,9.05,-47.0,-50.0,-50.0,57.6,57.35,57.0,80.0,80.0,80.0,61.45,61.23,61.0,-1.1,-1.03,-1.0,-8.1,-7.85,-7.85
2023-03-13,-1,5.79,5.9,5.96,0.76,0.85,0.89,5.25,5.25,5.25,12.75,12.75,12.75,4.6,4.11,4.11,8.53,9.05,9.13,-50.0,-50.0,-50.0,57.2,57.0,57.0,80.0,80.0,80.0,61.5,61.0,61.0,-1.1,-1.0,-1.0,-8.0,-7.85,-7.85
2023-04-03,-1,5.9,5.93,5.96,0.85,0.9,0.9,5.25,5.25,5.25,12.75,12.75,12.75,4.11,4.0,3.7,9.05,9.48,9.65,-50.0,-50.4,-50.84,57.0,55.0,55.0,80.0,80.0,80.0,61.0,61.0,61.15,-1.0,-1.02,-1.01,-7.85,-7.8,-7.8
2023-05-08,1,5.98,6.05,6.02,0.91,1.0,1.0,5.25,5.2,5.2,12.75,12.5,12.5,3.7,2.18,2.14,9.79,10.73,10.7,-50.84,-48.0,-47.7,55.0,60.0,60.0,80.0,80.0,80.0,61.15,60.55,60.7,-1.01,-1.0,-1.0,-7.8,-7.8,-7.8
2023-05-22,-1,6.04,6.03,5.8,0.96,1.02,1.2,5.2,5.2,5.15,12.5,12.5,12.5,3.03,2.03,1.0,10.71,10.53,9.5,-48.55,-47.3,-47.06,57.7,60.0,60.0,80.0,80.0,80.0,61.0,60.7,61.0,-1.0,-1.0,-1.0,-7.85,-7.8,-7.8
2023-07-10,-1,5.42,4.98,4.95,1.84,2.19,2.19,5.1,5.0,5.0,12.5,12.0,12.0,-0.2,-2.5,-2.64,9.32,8.97,8.95,-47.5,-43.22,-43.07,59.2,63.76,64.0,80.0,79.5,79.5,60.6,60.6,60.6,-1.05,-1.02,-1.0,-7.85,-7.74,-7.7
2023-07-24,1,5.06,4.95,4.9,2.18,2.24,2.24,5.0,5.0,4.97,12.25,12.0,12.0,-1.86,-2.69,-2.92,9.03,8.91,8.83,-43.9,-43.07,-42.0,62.0,65.0,67.56,78.8,80.0,80.0,60.47,60.52,60.5,-1.01,-1.0,-1.0,-7.74,-7.64,-7.45
2023-08-14,-1,4.95,4.84,4.84,2.24,2.26,2.29,5.0,4.9,4.93,12.0,11.75,11.75,-2.69,-3.44,-3.49,8.91,8.91,9.03,-43.07,-43.0,-43.0,65.0,67.0,70.0,80.0,80.0,80.0,60.52,60.6,60.4,-1.0,-1.0,-1.0,-7.64,-7.48,-7.45
2023-08-21,-1,4.9,4.84,4.9,2.24,2.29,2.29,4.97,4.93,4.95,12.0,11.75,11.75,-2.92,-3.49,-3.43,8.83,9.03,9.93,-42.0,-43.0,-43.0,67.56,70.0,71.7,80.0,80.0,80.0,60.5,60.4,60.4,-1.0,-1.0,-1.0,-7.45,-7.45,-7.4
2023-09-04,1,4.84,4.9,4.92,2.26,2.31,2.56,4.9,4.98,4.98,11.75,11.75,11.75,-3.44,-3.44,-3.56,8.91,9.97,10.02,-43.0,-43.0,-43.0,67.0,70.9,72.35,80.0,80.0,80.0,60.6,60.6,60.45,-1.0,-1.0,-1.0,-7.48,-7.4,-7.45
2023-09-11,1,4.84,4.92,4.93,2.29,2.56,2.64,4.93,4.98,5.0,11.75,11.75,11.75,-3.49,-3.56,-3.54,9.03,10.02,10.1,-43.0,-43.0,-42.8,70.0,72.35,70.1,80.0,80.0,80.0,60.4,60.45,60.4,-1.0,-1.0,-1.0,-7.45,-7.45,-7.4
2023-10-02,-1,4.92,4.86,4.86,2.56,2.92,2.92,4.98,4.95,4.95,11.75,11.75,11.75,-3.56,-3.75,-3.69,10.02,10.22,10.23,-43.0,-43.3,-43.3,72.35,73.0,72.1,80.0,80.0,80.0,60.45,60.4,60.5,-1.0,-1.0,-1.1,-7.45,-7.4,-7.4
2023-10-23,-1,4.86,4.75,4.65,2.92,2.92,2.9,4.95,5.0,5.0,11.75,11.75,11.75,-3.75,-3.69,-3.56,10.22,10.1,9.68,-43.3,-40.4,-39.7,73.0,73.7,74.35,80.0,80.0,79.4,60.4,61.0,60.6,-1.0,-1.1,-1.1,-7.4,-7.5,-7.5
2023-10-30,1,4.86,4.65,4.63,2.92,2.9,2.89,4.95,5.0,5.0,11.75,11.75,11.75,-3.69,-3.56,-3.51,10.23,9.68,9.61,-43.3,-39.7,-38.3,72.1,74.35,74.95,80.0,79.4,72.0,60.5,60.6,60.6,-1.1,-1.1,-1.1,-7.4,-7.5,-7.5
2023-11-06,1,4.86,4.63,4.63,2.92,2.89,2.89,5.0,5.0,5.0,11.75,11.75,11.75,-3.69,-3.51,-3.55,10.2,9.61,9.59,-42.65,-38.3,-38.25,72.9,74.95,75.3,80.0,72.0,70.0,60.5,60.6,60.61,-1.1,-1.1,-1.1,-7.4,-7.5,-7.51
2023-11-13,-1,4.75,4.63,4.59,2.92,2.89,2.89,5.0,5.0,5.0,11.75,11.75,11.75,-3.69,-3.55,-3.55,10.1,9.59,9.38,-40.4,-38.25,-38.0,73.7,75.3,76.0,80.0,70.0,69.0,61.0,60.61,60.7,-1.1,-1.1,-1.1,-7.5,-7.51,-7.52
2023-11-20,1,4.65,4.59,4.55,2.9,2.89,2.85,5.0,5.0,5.0,11.75,11.75,11.75,-3.56,-3.55,-3.55,9.68,9.38,9.18,-39.7,-38.0,-37.2,74.35,76.0,77.0,79.4,69.0,64.71,60.6,60.7,60.83,-1.1,-1.1,-1.1,-7.5,-7.52,-7.6
